"province_id.id","district_id.id","municipality_code","municipality_name"
1,6,"16","Dhanpalthan Rural Municipality"
1,6,"17","Jahada Rural Municipality"
1,7,"01","Siddhicharan Municipality"
1,7,"02","Champadevi Rural Municipality"
1,7,"03","Sunkoshi Rural Municipality"
1,7,"04","Likhu Rural Municipality"
1,7,"05","Chisankhugadhi Rural Municipality"
1,7,"06","Molung Rural Municipality"
1,7,"07","Khijidemba Rural Municipality"
1,7,"08","Manebhanjyang Rural Municipality"
1,8,"01","Phidim Municipality"
1,8,"02","Hilihang Rural Municipality"
1,8,"03","Kummayak Rural Municipality"
1,8,"04","Miklajung Rural Municipality"
1,8,"05","Phalelung Rural Municipality"
1,8,"06","Phalgunanda Rural Municipality"
1,8,"07","Tumbewa Rural Municipality"
1,8,"08","Yangawarak Rural Municipality"
1,9,"01","Chainpur M"
1,9,"02","Dharmadevi M"
1,9,"03","Khandbari M"
1,9,"04","Madi M"
1,9,"05","Panchkhapan M"
1,9,"06","Bhotkhola RM"
1,9,"07","Chichila RM"
1,9,"08","Makalu RM"
1,9,"09","Savapokhari RM"
1,9,"10","Silichong RM"
1,10,"01","Solududhkunda M"
1,10,"02","Dudhakaushika RM"
1,10,"03","Nechasalyan RM"
1,10,"04","Dudhkoshi RM"
1,10,"05","Mahakulung RM"
1,10,"06","Sotang RM"
1,10,"07","Likhu Pike RM"
1,10,"08","Khumbu Pasang Lhamu RM"
1,11,"01","Itahari SM"
1,11,"02","Dharan SM"
1,11,"03","Inaruwa M"
1,11,"04","Duhabi M"
1,11,"05","Ramdhuni M"
1,11,"06","Barahachhetra Municipality"
1,11,"07","Koshi RM"
1,11,"08","Gadhi RM"
1,11,"09","Barju RM"
1,11,"10","Bhokraha RM"
1,11,"11","Harinagara RM"
1,11,"12","Dewanganj RM"
1,12,"01","Phungling M"
1,12,"02","Aathrai Tribeni RM"
1,12,"03","Sidingwa RM"
1,12,"04","Phaktanglung RM"
1,12,"05","Mikkwakhola RM"
1,12,"06","Meringden RM"
1,12,"07","Maiwakhola RM"
1,12,"08","Pathibhara Yangwarak RM"
1,12,"09","Sirijangha RM"
1,13,"01","Myanglung M"
1,13,"02","Laligurans M"
1,13,"03","Aathrai RM"
1,13,"04","Chhathar RM"
1,13,"05","Phedap RM"
1,13,"06","Menchhayayem RM"
1,14,"01","Triyuga M"
1,14,"02","Katari M"
1,14,"03","Chaudandigadhi M"
1,14,"04","Belaka M"
1,14,"05","Udayapurgadhi RM"
1,14,"06","Rautamai RM"
1,14,"07","Tapli RM"
1,14,"08","Limchungbung RM"
2,15,"01","Bagmati Municipality"
2,15,"02","Balara Municipality"
2,15,"03","Barahathwa Municipality"
2,15,"04","Godaita Municipality"
